date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,ETH_Open,ETH_High,ETH_Low,ETH_Close,ETH_Volume,XRP_Open,XRP_High,XRP_Low,XRP_Close,XRP_Volume,SOL_Open,SOL_High,SOL_Low,SOL_Close,SOL_Volume,ADA_Open,ADA_High,ADA_Low,ADA_Close,ADA_Volume,DOGE_Open,DOGE_High,DOGE_Low,DOGE_Close,DOGE_Volume,AVAX_Open,AVAX_High,AVAX_Low,AVAX_Close,AVAX_Volume,DOT_Open,DOT_High,DOT_Low,DOT_Close,DOT_Volume,fg_fear_greed,usdt_totalCirculating,usdt_totalCirculatingUSD,usdt_totalMintedUSD,usdt_totalUnreleased,usdt_totalBridgedToUSD,aave_aave_eth_tvl,lido_lido_eth_tvl,makerdao_makerdao_eth_tvl,uniswap_uniswap_eth_tvl,curve_curve-dex_eth_tvl,chain_eth_chain_tvl,funding_fundingRate,l2_arbitrum_tvl,l2_optimism_tvl,l2_base_tvl,l2_zksync era_tvl,sp500_SP500,vix_VIX,gold_GOLD,dxy_DXY
2019-06-15,10462000.0,10600000.0,10311000.0,10528000.0,6509.17413273,317900.0,326500.0,313000.0,319500.0,102801.9508951,486.0,494.0,481.0,488.0,75184518.30650026,0.0,0.0,0.0,0.0,0.0,109.0,111.0,107.0,110.0,67114258.98136361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,768376770.0,769317056.0,769317056.0,31680723.0,0.0,0.0,0.0,419465215,18302293,0.0,484243010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-16,10523000.0,11150000.0,10451000.0,10710000.0,12029.90223717,319500.0,330500.0,317000.0,320150.0,117198.50737553,488.0,524.0,487.0,511.0,192526193.29219085,0.0,0.0,0.0,0.0,0.0,109.0,112.0,108.0,110.0,182919173.8721802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,776368770.0,777318836.0,777318836.0,23688723.0,0.0,0.0,0.0,429759407,18309591,0.0,495664501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-06-17,10710000.0,11187000.0,10694000.0,11055000.0,8591.80232045,320200.0,326050.0,319550.0,324100.0,92232.91305868,511.0,547.0,509.0,531.0,179926679.41938132,0.0,0.0,0.0,0.0,0.0,111.0,111.0,109.0,111.0,79650379.56366922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,800344770.0,801324176.0,801324176.0,99712723.0,0.0,0.0,0.0,443207073,17769474,0.0,509130301,0.0,0.0,0.0,0.0,0.0,2889.669921875,15.350000381469728,1338.699951171875,97.55999755859376
2019-06-18,11055000.0,11100000.0,10750000.0,10902000.0,7165.30905941,324350.0,324900.0,314650.0,317800.0,77871.25080125,531.0,540.0,506.0,512.0,157905604.80610025,0.0,0.0,0.0,0.0,0.0,111.0,111.0,106.0,106.0,79948608.60990298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,845362588.0,846397084.0,846397084.0,54694906.0,0.0,0.0,0.0,445751775,18014411,0.0,513188682,0.0,0.0,0.0,0.0,0.0,2917.75,15.149999618530272,1346.5999755859375,97.63999938964844
2019-06-19,10901000.0,11100000.0,10845000.0,11063000.0,5153.06082226,317800.0,322500.0,316150.0,320400.0,59811.61194191,512.0,525.0,509.0,519.0,66372176.54936249,0.0,0.0,0.0,0.0,0.0,106.0,110.0,105.0,108.0,83842870.51729755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,851957488.0,853000054.0,853000054.0,48100006.0,0.0,0.0,0.0,438027353,17393056,0.0,504467906,0.0,0.0,0.0,0.0,0.0,2926.4599609375,14.329999923706056,1344.5999755859375,97.12000274658205
2019-06-20,11064000.0,11421000.0,10931000.0,11349000.0,8734.01302562,320450.0,326400.0,316850.0,323350.0,103080.52629168,518.0,520.0,501.0,512.0,95753197.08447789,0.0,0.0,0.0,0.0,0.0,108.0,108.0,102.0,105.0,130338298.59938055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,855840602.0,856887920.0,856887920.0,44216892.0,0.0,0.0,0.0,436013887,17717958,0.0,504383890,0.0,0.0,0.0,0.0,0.0,2954.179931640625,14.75,1392.9000244140625,96.62999725341795
2019-06-21,11350000.0,12000000.0,11338000.0,11994000.0,10040.27928899,323350.0,349500.0,323100.0,347450.0,212495.01745699,512.0,529.0,511.0,524.0,126110359.90855332,0.0,0.0,0.0,0.0,0.0,104.0,108.0,104.0,106.0,106534013.08677304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,872877952.0,873946119.0,873946119.0,27179542.0,0.0,0.0,0.0,436952496,17850244,0.0,505731952,0.0,0.0,0.0,0.0,0.0,2950.4599609375,15.399999618530272,1396.199951171875,96.22000122070312
2019-06-22,11994000.0,13043000.0,11818000.0,12398000.0,24086.22072139,347450.0,365500.0,344650.0,358300.0,240210.31968659,524.0,581.0,519.0,551.0,439438548.04336536,0.0,0.0,0.0,0.0,0.0,106.0,113.0,104.0,110.0,284133059.025481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,892235982.0,893327838.0,893327838.0,107821512.0,0.0,0.0,0.0,470581244,18959534,0.0,543938953,0.0,0.0,0.0,0.0,0.0,2950.4599609375,15.399999618530272,1396.199951171875,96.22000122070312
2019-06-23,12398000.0,13036000.0,12200000.0,12681000.0,10604.85648318,358300.0,369000.0,352600.0,359100.0,115845.33407891,551.0,567.0,541.0,547.0,154593142.28643757,0.0,0.0,0.0,0.0,0.0,110.0,118.0,109.0,113.0,319508125.165518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,895232982.0,896328506.0,896328506.0,104824512.0,0.0,0.0,0.0,497501560,19523606,0.0,573222685,0.0,0.0,0.0,0.0,0.0,2950.4599609375,15.399999618530272,1396.199951171875,96.22000122070312
2019-06-24,12681000.0,12980000.0,12456000.0,12891000.0,8410.98247577,359100.0,366600.0,349500.0,363050.0,91699.41078024,547.0,556.0,529.0,552.0,121655307.32569994,0.0,0.0,0.0,0.0,0.0,113.0,117.0,110.0,115.0,172736619.8350169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,908232982.0,909344414.0,909344414.0,91824512.0,0.0,0.0,0.0,495655481,19194229,0.0,571499683,0.0,0.0,0.0,0.0,0.0,2945.35009765625,15.260000228881836,1414.300048828125,95.9800033569336
